Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,325575520.0,1149467.9,2012908.2,0.0,40.2581640625,10.717910920868647,16824170806494.256,21466585914800.0,1.631654248448,15,36026072986.30137,36.30440950393676,-71363860945.07855,26662597000.0,0.5,1.9200000911951065,405296350000.0,[22.154572],57413698000.0,25383563000.0,88304110000.0,106635620000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[22.154572],[27.808569],0.7398087176956898,0.7398087176956898
2.0,321565920.0,2072472.4,5099490.0,0.0,101.9898125,10.875930113276011,16688419751549.266,21466585914800.0,3.23833430016,3,81058664219.17809,26.304409503936764,-207114915890.07184,53101076000.0,1.25,1.9200000911951065,881167800000.0,[38.704144],113052040000.0,49665753000.0,173945200000.0,209720540000.0,4191639117773.1504,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[38.704144],[54.70371],0.591779820312362,0.591779820312362
3.0,316347800.0,2364379.8,10025703.0,0.0,200.51403125,10.340159241016785,16717026632049.678,21466585914800.0,4.824574722048,1,108078218958.90413,16.304409503936764,-178508035389.6587,79449110000.0,1.75,1.9200000911951065,1174720300000.0,[46.991394],168882180000.0,73750690000.0,259523280000.0,313030150000.0,4209652154266.301,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[46.991394],[81.9682],0.5296590216161792,0.5296590216161792
4.0,311221950.0,2393680.2,15122298.0,0.0,302.44596875,10.044842226231063,16710651465471.383,21466585914800.0,6.408473935872,4,117084737205.47948,16.304409503936764,-184883201967.95068,105817110000.0,2.5,0.8642455528487858,1485916600000.0,[54.51339],225043820000.0,97873986000.0,345065750000.0,416668500000.0,4209652154266.301,0.005555608912863714,0.008642455528487858,[0.],[0.],[0.],[0.],[0.],[0.],[54.51339],[109.563866],0.5425873317825569,0.5425873317825569
5.0,306416640.0,2196223.8,20125048.0,0.0,402.50096875,9.727630566350612,16722715928102.18,21466585914800.0,8.014454587392,11,135097773698.63017,16.304409503936764,-172818739337.1479,117695940000.0,2.25,0.8642455528487858,1773587800000.0,[62.456898],281323270000.0,121975360000.0,430635600000.0,520575350000.0,4200645636019.7256,0.005555608912863714,0.008642455528487858,[0.],[0.],[0.],[0.],[0.],[0.],[62.456898],[137.8743],0.568289631639028,0.568289631639028
6.0,301900740.0,2145455.2,24691686.0,0.0,493.83375,8.714685348312544,16729771536452.219,21466585914800.0,9.660430024704,3,171123846684.93155,16.304409503936764,-165763130987.1056,129568310000.0,2.25,0.8642455528487858,2084784000000.0,[72.35908],337978060000.0,145980830000.0,516131500000.0,624786340000.0,4209652154266.301,0.005555608912863714,0.008642455528487858,[0.],[0.],[0.],[0.],[0.],[0.],[72.35908],[166.59723],0.5890609346511579,0.5890609346511579
7.0,297620860.0,2004011.8,29113040.0,0.0,582.2606875,8.775969426051846,16733876766762.977,21466585914800.0,11.295451512832,4,180130364931.5069,16.304409503936764,-161657900676.34967,141450580000.0,2.25,0.8642455528487858,2372455400000.0,[82.91381],394723260000.0,169898640000.0,601717800000.0,729454800000.0,4209652154266.301,0.005555608912863714,0.008642455528487858,[0.],[0.],[0.],[0.],[0.],[0.],[82.91381],[195.70674],0.6235058113084208,0.6235058113084208
8.0,293633700.0,1876653.2,33227562.0,0.0,664.5513125,6.799748344209861,16686066273316.256,21466585914800.0,12.971978784768,4,207149919671.23294,36.30440950393676,-209468394123.06992,153340840000.0,2.25,0.3756597583546961,2730701600000.0,[94.84657],451482160000.0,193857550000.0,687399960000.0,834591800000.0,4173626081280.0,0.006844205405281908,0.003756597583546961,[0.],[0.],[0.],[0.],[0.],[0.],[94.84657],[225.14343],0.6466259402799238,0.6466259402799238
9.0,289021000.0,2202337.0,37514610.0,0.0,750.2920625,5.96532162721382,16605210659353.16,21466585914800.0,14.66436681728,13,225162956164.38364,16.304409503936764,-290324008086.1655,158471860000.0,2.5,0.3756597583546961,3106591500000.0,[106.00452],508134230000.0,217742480000.0,773257500000.0,940098650000.0,4173626081280.0,0.006844205405281908,0.003756597583546961,[0.],[0.],[0.],[0.],[0.],[0.],[106.00452],[254.99466],0.6137892098338218,0.6137892098338218
10.0,278507870.0,2559990.2,47670050.0,1.499963880041145,854.7819375,6.272309337143818,16565857761005.223,21466585914800.0,16.346605682688,10,225162956164.38364,16.304409503936764,-329676906434.09686,163593760000.0,2.5,0.3756597583546961,3423669000000.0,[112.952095],564931460000.0,241619200000.0,859353400000.0,1045975330000.0,4173626081280.0,0.006844205405281908,0.003756597583546961,[0.],[0.],[0.],[0.],[0.],[0.],[112.952095],[285.11664],0.5349664436926673,0.5349664436926673
11.0,243035580.0,2686160.5,83016150.0,10.499746551900634,969.990125,6.2960838992481785,16565550139827.7,21466585914800.0,18.053031002112,12,234169474410.95898,16.304409503936764,-329984527611.6161,168709770000.0,3.75,0.3756597583546961,3711340400000.0,[117.49269],621805440000.0,265778100000.0,945380800000.0,1152147900000.0,4182632599526.575,0.006844205405281908,0.003756597583546961,[0.],[0.],[0.],[0.],[0.],[0.],[117.49269],[315.58347],0.5177617405707786,0.5177617405707786
12.0,208924660.0,1985792.0,117827450.0,19.499531048922268,1074.502,6.198514685479725,16564806749098.29,21466585914800.0,19.749903794176,1,243175992657.53433,16.304409503936764,-330727918341.0295,173825640000.0,4.0,0.8748432699676956,3999011400000.0,[124.43532],678520500000.0,289917830000.0,1031454700000.0,1258005500000.0,4227665190759.451,0.00951226164064921,0.008748432699676956,[0.],[0.],[0.],[0.],[0.],[0.],[124.43532],[345.86838],0.6387331062542699,0.6387331062542699
13.0,176792830.0,1136418.1,150808660.0,28.499315545943897,1142.412375,6.413907849923827,16502332321490.037,21466585914800.0,19.974343098368,15,243175992657.53433,16.304409503936764,-393202345949.28424,185706270000.0,4.75,0.8748432699676956,4043248800000.0,[139.59738],684186300000.0,292334270000.0,1040052000000.0,1268564400000.0,4245678227252.6016,0.00951226164064921,0.008748432699676956,[2.8507762],[0.08622294],[11.108948],[0.891498],[0.],[0.],[139.59738],[375.91937],0.7937078395389924,0.7937078395389924
14.0,146314960.0,486711.97,181936240.0,37.44877180519694,1176.558625,5.849651367869595,16507468536256.752,21466585914800.0,19.974343098368,1,252182510904.10968,16.304409503936764,-388066131182.57434,197575690000.0,6.5,0.8748432699676956,4043248800000.0,[162.34167],684186300000.0,292334270000.0,1040052000000.0,1268564400000.0,4254684745499.177,0.00951226164064921,0.008748432699676956,[2.8507762],[0.08622294],[11.108948],[0.891498],[0.],[0.],[162.34167],[406.09818],0.9220752268640016,0.9220752268640016
15.0,117192856.0,169659.45,211375400.0,46.20183331696974,1189.849125,6.0610982275619225,16482790129928.834,21466585914800.0,19.974343098368,1,261189029150.68503,16.304409503936764,-412744537510.4945,209439520000.0,8.5,0.8748432699676956,4043248800000.0,[189.76944],684186300000.0,292334270000.0,1040052000000.0,1268564400000.0,4263691263745.752,0.00951226164064921,0.008748432699676956,[2.8507762],[0.08622294],[11.108948],[0.891498],[0.],[0.],[189.76944],[436.38806],0.9808701442808211,0.9808701442808211
16.0,89980290.0,48157.9,238709470.0,54.45112817470073,1194.15875,5.91302251852202,16419263549713.998,21466585914800.0,19.974343098368,8,261189029150.68503,26.304409503936764,-476271117725.33124,221267980000.0,10.75,2.7235404978993127,4043248800000.0,[219.214],684186300000.0,292334270000.0,1040052000000.0,1268564400000.0,4263691263745.752,0.013167692190753578,0.027235404978993127,[2.8507762],[0.08622294],[11.108948],[0.891498],[0.],[0.],[219.214],[466.80432],0.9992389798998567,0.9992389798998567
